id,company_id/id,code,name,user_type_id/id,reconcile
coa_hja_54100,base.main_company,54100,Pre Nursery (Pn),data_type_cogs,
coa_hja_54110,base.main_company,54110,Pn - Persiapan Media Tanam,data_type_cogs,
coa_hja_54111,base.main_company,54111,Pn-Persiapan Media Tanam-Upah,data_type_cogs,
coa_hja_54112,base.main_company,54112,Pn-Persiapan Media Tanam-Bahan,data_type_cogs,
coa_hja_54113,base.main_company,54113,Pn-Persiapan Media Tanam - Lain Lain,data_type_cogs,
coa_tpn_54100,base.tpn_company,54100,Pre Nursery (Pn),data_type_cogs,
coa_tpn_54110,base.tpn_company,54110,Pn - Persiapan Media Tanam,data_type_cogs,
coa_tpn_54111,base.tpn_company,54111,Pn-Persiapan Media Tanam-Upah,data_type_cogs,
coa_tpn_54112,base.tpn_company,54112,Pn-Persiapan Media Tanam-Bahan,data_type_cogs,
coa_tpn_54113,base.tpn_company,54113,Pn-Persiapan Media Tanam - Lain Lain,data_type_cogs,
coa_apk_54100,base.apk_company,54100,Pre Nursery (Pn),data_type_cogs,
coa_apk_54110,base.apk_company,54110,Pn - Persiapan Media Tanam,data_type_cogs,
coa_apk_54111,base.apk_company,54111,Pn-Persiapan Media Tanam-Upah,data_type_cogs,
coa_apk_54112,base.apk_company,54112,Pn-Persiapan Media Tanam-Bahan,data_type_cogs,
coa_apk_54113,base.apk_company,54113,Pn-Persiapan Media Tanam - Lain Lain,data_type_cogs,
